Source,Target,Type,Id,Label,timeset,Weight,count
8518,86,Directed,8518>86,,,1,1
6087,86,Directed,6087>86,,,1,1
14408,86,Directed,14408>86,,,1,1
714,86,Directed,714>86,,,1,1
10445,86,Directed,10445>86,,,1,1
7886,86,Directed,7886>86,,,1,1
23769,86,Directed,23769>86,,,1,1
8657,86,Directed,8657>86,,,1,1
13821,86,Directed,13821>86,,,1,1
10580,86,Directed,10580>86,,,1,1
23438,86,Directed,23438>86,,,1,1
10457,86,Directed,10457>86,,,1,1
25946,86,Directed,25946>86,,,1,1
22927,86,Directed,22927>86,,,1,1
7901,86,Directed,7901>86,,,1,1
12258,86,Directed,12258>86,,,1,1
12387,86,Directed,12387>86,,,1,1
8422,86,Directed,8422>86,,,1,1
13863,86,Directed,13863>86,,,1,1
17987,86,Directed,17987>86,,,1,1
7789,86,Directed,7789>86,,,1,1
5949,86,Directed,5949>86,,,1,1
15857,86,Directed,15857>86,,,1,1
15476,86,Directed,15476>86,,,1,1
18808,86,Directed,18808>86,,,1,1
25725,86,Directed,25725>86,,,1,1
18656,94,Directed,18656>94,,,1,1
18156,94,Directed,18156>94,,,1,1
25766,94,Directed,25766>94,,,1,1
20521,94,Directed,20521>94,,,1,1
13643,94,Directed,13643>94,,,1,1
25836,94,Directed,25836>94,,,1,1
4013,94,Directed,4013>94,,,1,1
22894,94,Directed,22894>94,,,1,1
14927,94,Directed,14927>94,,,1,1
8317,94,Directed,8317>94,,,1,1
238,94,Directed,238>94,,,1,1
6294,94,Directed,6294>94,,,1,2
13432,94,Directed,13432>94,,,1,1
3546,94,Directed,3546>94,,,1,1
20349,94,Directed,20349>94,,,1,1
18133,94,Directed,18133>94,,,1,1
10819,98,Directed,10819>98,,,1,1
5689,99,Directed,5689>99,,,1,2
23476,99,Directed,23476>99,,,1,1
18597,99,Directed,18597>99,,,1,1
8662,99,Directed,8662>99,,,1,1
20088,100,Directed,20088>100,,,1,1
20712,100,Directed,20712>100,,,1,1
10562,100,Directed,10562>100,,,1,1
23727,100,Directed,23727>100,,,1,1
8640,101,Directed,8640>101,,,1,1
18156,101,Directed,18156>101,,,1,1
25766,103,Directed,25766>103,,,1,1
3816,103,Directed,3816>103,,,1,1
20139,103,Directed,20139>103,,,1,1
366,103,Directed,366>103,,,1,1
20150,103,Directed,20150>103,,,1,1
20513,104,Directed,20513>104,,,1,1
25485,104,Directed,25485>104,,,1,1
693,104,Directed,693>104,,,1,1
7926,104,Directed,7926>104,,,1,1
11929,104,Directed,11929>104,,,1,1
4091,104,Directed,4091>104,,,1,1
8153,106,Directed,8153>106,,,1,1
3928,107,Directed,3928>107,,,1,1
849,107,Directed,849>107,,,1,1
25988,107,Directed,25988>107,,,1,1
25932,107,Directed,25932>107,,,1,1
852,107,Directed,852>107,,,1,1
3415,109,Directed,3415>109,,,1,1
5645,109,Directed,5645>109,,,1,1
7700,109,Directed,7700>109,,,1,1
19990,109,Directed,19990>109,,,1,1
19992,109,Directed,19992>109,,,1,1
14873,109,Directed,14873>109,,,1,1
20289,109,Directed,20289>109,,,1,1
17966,109,Directed,17966>109,,,1,1
13151,109,Directed,13151>109,,,1,1
17981,109,Directed,17981>109,,,1,1
6215,109,Directed,6215>109,,,1,1
15950,109,Directed,15950>109,,,1,1
12367,109,Directed,12367>109,,,1,1
13398,109,Directed,13398>109,,,1,1
12217,109,Directed,12217>109,,,1,1
14427,109,Directed,14427>109,,,1,1
12383,109,Directed,12383>109,,,1,1
3683,109,Directed,3683>109,,,1,1
12388,109,Directed,12388>109,,,1,1
15461,109,Directed,15461>109,,,1,1
104,109,Directed,104>109,,,1,1
18025,109,Directed,18025>109,,,1,1
7787,109,Directed,7787>109,,,1,1
3184,109,Directed,3184>109,,,1,1
8306,109,Directed,8306>109,,,1,1
25720,109,Directed,25720>109,,,1,1
20093,109,Directed,20093>109,,,1,1
8323,109,Directed,8323>109,,,1,1
135,109,Directed,135>109,,,1,1
15499,109,Directed,15499>109,,,1,1
5779,109,Directed,5779>109,,,1,1
6298,109,Directed,6298>109,,,1,1
13468,109,Directed,13468>109,,,1,1
160,109,Directed,160>109,,,1,1
18087,109,Directed,18087>109,,,1,1
5801,109,Directed,5801>109,,,1,1
15018,109,Directed,15018>109,,,1,1
10412,109,Directed,10412>109,,,1,1
10413,109,Directed,10413>109,,,1,1
20660,109,Directed,20660>109,,,1,1
6325,109,Directed,6325>109,,,1,1
10934,109,Directed,10934>109,,,1,1
25801,109,Directed,25801>109,,,1,1
715,109,Directed,715>109,,,1,1
15564,109,Directed,15564>109,,,1,1
717,109,Directed,717>109,,,1,1
15480,109,Directed,15480>109,,,1,1
12501,109,Directed,12501>109,,,1,1
15578,109,Directed,15578>109,,,1,1
10459,109,Directed,10459>109,,,1,1
20700,109,Directed,20700>109,,,1,1
6370,109,Directed,6370>109,,,1,15
16101,109,Directed,16101>109,,,1,1
8422,109,Directed,8422>109,,,1,1
13546,109,Directed,13546>109,,,1,1
747,109,Directed,747>109,,,1,1
13437,109,Directed,13437>109,,,1,1
3318,109,Directed,3318>109,,,1,1
11006,109,Directed,11006>109,,,1,1
5889,109,Directed,5889>109,,,1,1
25859,109,Directed,25859>109,,,1,1
7940,109,Directed,7940>109,,,1,1
13576,109,Directed,13576>109,,,1,1
11020,109,Directed,11020>109,,,1,1
3197,109,Directed,3197>109,,,1,1
7953,109,Directed,7953>109,,,1,1
18707,109,Directed,18707>109,,,1,1
15641,109,Directed,15641>109,,,1,1
3354,109,Directed,3354>109,,,1,1
20251,109,Directed,20251>109,,,1,1
284,109,Directed,284>109,,,1,1
10532,109,Directed,10532>109,,,1,1
19239,109,Directed,19239>109,,,1,1
5929,109,Directed,5929>109,,,1,1
20266,109,Directed,20266>109,,,1,1
5931,109,Directed,5931>109,,,1,1
3890,109,Directed,3890>109,,,1,1
13105,109,Directed,13105>109,,,1,1
11058,109,Directed,11058>109,,,1,1
20275,109,Directed,20275>109,,,1,1
11060,109,Directed,11060>109,,,1,1
11061,109,Directed,11061>109,,,1,1
309,109,Directed,309>109,,,1,1
25921,109,Directed,25921>109,,,1,1
20298,109,Directed,20298>109,,,1,1
25932,109,Directed,25932>109,,,1,1
848,109,Directed,848>109,,,1,1
23300,109,Directed,23300>109,,,1,1
20311,109,Directed,20311>109,,,1,1
3928,109,Directed,3928>109,,,1,1
5979,109,Directed,5979>109,,,1,1
8029,109,Directed,8029>109,,,1,1
20830,109,Directed,20830>109,,,1,1
10469,109,Directed,10469>109,,,1,1
8547,109,Directed,8547>109,,,1,1
16019,109,Directed,16019>109,,,1,1
25982,109,Directed,25982>109,,,1,1
20715,109,Directed,20715>109,,,1,1
8452,109,Directed,8452>109,,,1,1
13633,109,Directed,13633>109,,,1,1
7986,109,Directed,7986>109,,,1,1
6541,109,Directed,6541>109,,,1,1
8078,109,Directed,8078>109,,,1,1
26016,109,Directed,26016>109,,,1,1
8613,109,Directed,8613>109,,,1,1
583,109,Directed,583>109,,,1,1
12204,109,Directed,12204>109,,,1,1
12205,109,Directed,12205>109,,,1,1
19383,109,Directed,19383>109,,,1,1
3512,109,Directed,3512>109,,,1,1
25529,109,Directed,25529>109,,,1,1
